0x20,u+0020
0x21,u+0021
0x22,u+0022
0x23,u+0023
0x24,u+0024
0x25,u+0025
0x26,u+0026
0x27,u+0027
0x28,u+0028
0x29,u+0029
0x2a,u+002a
0x2b,u+002b
0x2c,u+002c
0x2d,u+002d
0x2e,u+002e
0x2f,u+002f
0x30,u+0030
0x31,u+0031
0x32,u+0032
0x33,u+0033
0x34,u+0034
0x35,u+0035
0x36,u+0036
0x37,u+0037
0x38,u+0038
0x39,u+0039
0x3a,u+003a
0x3b,u+003b
0x3c,u+003c
0x3d,u+003d
0x3e,u+003e
0x3f,u+003f
0x40,u+0040
0x41,u+0041
0x42,u+0042
0x43,u+0043
0x44,u+0044
0x45,u+0045
0x46,u+0046
0x47,u+0047
0x48,u+0048
0x49,u+0049
0x4a,u+004a
0x4b,u+004b
0x4c,u+004c
0x4d,u+004d
0x4e,u+004e
0x4f,u+004f
0x50,u+0050
0x51,u+0051
0x52,u+0052
0x53,u+0053
0x54,u+0054
0x55,u+0055
0x56,u+0056
0x57,u+0057
0x58,u+0058
0x59,u+0059
0x5a,u+005a
0x5b,u+005b
0x5c,u+005c
0x5d,u+005d
0x5e,u+005e
0x5f,u+005f
0x60,u+0060
0x61,u+0061
0x62,u+0062
0x63,u+0063
0x64,u+0064
0x65,u+0065
0x66,u+0066
0x67,u+0067
0x68,u+0068
0x69,u+0069
0x6a,u+006a
0x6b,u+006b
0x6c,u+006c
0x6d,u+006d
0x6e,u+006e
0x6f,u+006f
0x70,u+0070
0x71,u+0071
0x72,u+0072
0x73,u+0073
0x74,u+0074
0x75,u+0075
0x76,u+0076
0x77,u+0077
0x78,u+0078
0x79,u+0079
0x7a,u+007a
0x7b,u+007b
0x7c,u+007c
0x7d,u+007d
0x7e,u+007e
0xa0,u+00a0
0xa1,u+00a1
0xa2,u+00a2
0xa3,u+00a3
0xa4,u+00a4
0xa5,u+00a5
0xa6,u+00a6
0xa7,u+00a7
0xa8,u+00a8
0xa9,u+00a9
0xaa,u+00aa
0xab,u+00ab
0xac,u+00ac
0xad,u+00ad
0xae,u+00ae
0xaf,u+00af
0xb0,u+00b0
0xb1,u+00b1
0xb2,u+00b2
0xb3,u+00b3
0xb4,u+00b4
0xb5,u+00b5
0xb6,u+00b6
0xb7,u+00b7
0xb8,u+00b8
0xb9,u+00b9
0xba,u+00ba
0xbb,u+00bb
0xbc,u+00bc
0xbd,u+00bd
0xbe,u+00be
0xbf,u+00bf
0xc0,u+00c0
0xc1,u+00c1
0xc2,u+00c2
0xc3,u+00c3
0xc4,u+00c4
0xc5,u+00c5
0xc6,u+00c6
0xc7,u+00c7
0xc8,u+00c8
0xc9,u+00c9
0xca,u+00ca
0xcb,u+00cb
0xcc,u+00cc
0xcd,u+00cd
0xce,u+00ce
0xcf,u+00cf
0xd0,u+00d0
0xd1,u+00d1
0xd2,u+00d2
0xd3,u+00d3
0xd4,u+00d4
0xd5,u+00d5
0xd6,u+00d6
0xd7,u+00d7
0xd8,u+00d8
0xd9,u+00d9
0xda,u+00da
0xdb,u+00db
0xdc,u+00dc
0xdd,u+00dd
0xde,u+00de
0xdf,u+00df
0xe0,u+00e0
0xe1,u+00e1
0xe2,u+00e2
0xe3,u+00e3
0xe4,u+00e4
0xe5,u+00e5
0xe6,u+00e6
0xe7,u+00e7
0xe8,u+00e8
0xe9,u+00e9
0xea,u+00ea
0xeb,u+00eb
0xec,u+00ec
0xed,u+00ed
0xee,u+00ee
0xef,u+00ef
0xf0,u+00f0
0xf1,u+00f1
0xf2,u+00f2
0xf3,u+00f3
0xf4,u+00f4
0xf5,u+00f5
0xf6,u+00f6
0xf7,u+00f7
0xf8,u+00f8
0xf9,u+00f9
0xfa,u+00fa
0xfb,u+00fb
0xfc,u+00fc
0xfd,u+00fd
0xfe,u+00fe
0xff,u+00ff
0x100,u+0100
0x101,u+0101
0x102,u+0102
0x103,u+0103
0x104,u+0104
0x105,u+0105
0x106,u+0106
0x107,u+0107
0x108,u+0108
0x109,u+0109
0x10a,u+010a
0x10b,u+010b
0x10c,u+010c
0x10d,u+010d
0x10e,u+010e
0x10f,u+010f
0x110,u+0110
0x111,u+0111
0x112,u+0112
0x113,u+0113
0x114,u+0114
0x115,u+0115
0x116,u+0116
0x117,u+0117
0x118,u+0118
0x119,u+0119
0x11a,u+011a
0x11b,u+011b
0x11c,u+011c
0x11d,u+011d
0x11e,u+011e
0x11f,u+011f
0x120,u+0120
0x121,u+0121
0x122,u+0122
0x123,u+0123
0x124,u+0124
0x125,u+0125
0x126,u+0126
0x127,u+0127
0x128,u+0128
0x129,u+0129
0x12a,u+012a
0x12b,u+012b
0x12c,u+012c
0x12d,u+012d
0x12e,u+012e
0x12f,u+012f
0x130,u+0130
0x131,u+0131
0x132,u+0132
0x133,u+0133
0x134,u+0134
0x135,u+0135
0x136,u+0136
0x137,u+0137
0x138,u+0138
0x139,u+0139
0x13a,u+013a
0x13b,u+013b
0x13c,u+013c
0x13d,u+013d
0x13e,u+013e
0x13f,u+013f
0x140,u+0140
0x141,u+0141
0x142,u+0142
0x143,u+0143
0x144,u+0144
0x145,u+0145
0x146,u+0146
0x147,u+0147
0x148,u+0148
0x149,u+0149
0x14a,u+014a
0x14b,u+014b
0x14c,u+014c
0x14d,u+014d
0x14e,u+014e
0x14f,u+014f
0x150,u+0150
0x151,u+0151
0x152,u+0152
0x153,u+0153
0x154,u+0154
0x155,u+0155
0x156,u+0156
0x157,u+0157
0x158,u+0158
0x159,u+0159
0x15a,u+015a
0x15b,u+015b
0x15c,u+015c
0x15d,u+015d
0x15e,u+015e
0x15f,u+015f
0x160,u+0160
0x161,u+0161
0x162,u+0162
0x163,u+0163
0x164,u+0164
0x165,u+0165
0x166,u+0166
0x167,u+0167
0x168,u+0168
0x169,u+0169
0x16a,u+016a
0x16b,u+016b
0x16c,u+016c
0x16d,u+016d
0x16e,u+016e
0x16f,u+016f
0x170,u+0170
0x171,u+0171
0x172,u+0172
0x173,u+0173
0x174,u+0174
0x175,u+0175
0x176,u+0176
0x177,u+0177
0x178,u+0178
0x179,u+0179
0x17a,u+017a
0x17b,u+017b
0x17c,u+017c
0x17d,u+017d
0x17e,u+017e
0x17f,u+017f
0x180,u+0180
0x181,u+0181
0x182,u+0182
0x183,u+0183
0x184,u+0184
0x185,u+0185
0x186,u+0186
0x187,u+0187
0x188,u+0188
0x189,u+0189
0x18a,u+018a
0x18b,u+018b
0x18c,u+018c
0x18d,u+018d
0x18e,u+018e
0x18f,u+018f
0x190,u+0190
0x191,u+0191
0x192,u+0192
0x193,u+0193
0x194,u+0194
0x195,u+0195
0x196,u+0196
0x197,u+0197
0x198,u+0198
0x199,u+0199
0x19a,u+019a
0x19b,u+019b
0x19c,u+019c
0x19d,u+019d
0x19e,u+019e
0x19f,u+019f
0x1a0,u+01a0
0x1a1,u+01a1
0x1a2,u+01a2
0x1a3,u+01a3
0x1a4,u+01a4
0x1a5,u+01a5
0x1a6,u+01a6
0x1a7,u+01a7
0x1a8,u+01a8
0x1a9,u+01a9
0x1aa,u+01aa
0x1ab,u+01ab
0x1ac,u+01ac
0x1ad,u+01ad
0x1ae,u+01ae
0x1af,u+01af
0x1b0,u+01b0
0x1b1,u+01b1
0x1b2,u+01b2
0x1b3,u+01b3
0x1b4,u+01b4
0x1b5,u+01b5
0x1b6,u+01b6
0x1b7,u+01b7
0x1b8,u+01b8
0x1b9,u+01b9
0x1ba,u+01ba
0x1bb,u+01bb
0x1bc,u+01bc
0x1bd,u+01bd
0x1be,u+01be
0x1bf,u+01bf
0x1c0,u+01c0
0x1c1,u+01c1
0x1c2,u+01c2
0x1c3,u+01c3
0x1c4,u+01c4
0x1c5,u+01c5
0x1c6,u+01c6
0x1c7,u+01c7
0x1c8,u+01c8
0x1c9,u+01c9
0x1ca,u+01ca
0x1cb,u+01cb
0x1cc,u+01cc
0x1cd,u+01cd
0x1ce,u+01ce
0x1cf,u+01cf
0x1d0,u+01d0
0x1d1,u+01d1
0x1d2,u+01d2
0x1d3,u+01d3
0x1d4,u+01d4
0x1d5,u+01d5
0x1d6,u+01d6
0x1d7,u+01d7
0x1d8,u+01d8
0x1d9,u+01d9
0x1da,u+01da
0x1db,u+01db
0x1dc,u+01dc
0x1dd,u+01dd
0x1de,u+01de
0x1df,u+01df
0x1e0,u+01e0
0x1e1,u+01e1
0x1e2,u+01e2
0x1e3,u+01e3
0x1e4,u+01e4
0x1e5,u+01e5
0x1e6,u+01e6
0x1e7,u+01e7
0x1e8,u+01e8
0x1e9,u+01e9
0x1ea,u+01ea
0x1eb,u+01eb
0x1ec,u+01ec
0x1ed,u+01ed
0x1ee,u+01ee
0x1ef,u+01ef
0x1f0,u+01f0
0x1f1,u+01f1
0x1f2,u+01f2
0x1f3,u+01f3
0x1f4,u+01f4
0x1f5,u+01f5
0x1f6,u+01f6
0x1f7,u+01f7
0x1f8,u+01f8
0x1f9,u+01f9
0x1fa,u+01fa
0x1fb,u+01fb
0x1fc,u+01fc
0x1fd,u+01fd
0x1fe,u+01fe
0x1ff,u+01ff
0x200,u+0200
0x201,u+0201
0x202,u+0202
0x203,u+0203
0x204,u+0204
0x205,u+0205
0x206,u+0206
0x207,u+0207
0x208,u+0208
0x209,u+0209
0x20a,u+020a
0x20b,u+020b
0x20c,u+020c
0x20d,u+020d
0x20e,u+020e
0x20f,u+020f
0x210,u+0210
0x211,u+0211
0x212,u+0212
0x213,u+0213
0x214,u+0214
0x215,u+0215
0x216,u+0216
0x217,u+0217
0x218,u+0218
0x219,u+0219
0x21a,u+021a
0x21b,u+021b
0x21c,u+021c
0x21d,u+021d
0x21e,u+021e
0x21f,u+021f
0x220,u+0220
0x221,u+0221
0x222,u+0222
0x223,u+0223
0x224,u+0224
0x225,u+0225
0x226,u+0226
0x227,u+0227
0x228,u+0228
0x229,u+0229
0x22a,u+022a
0x22b,u+022b
0x22c,u+022c
0x22d,u+022d
0x22e,u+022e
0x22f,u+022f
0x230,u+0230
0x231,u+0231
0x232,u+0232
0x233,u+0233
0x234,u+0234
0x235,u+0235
0x236,u+0236
0x237,u+0237
0x238,u+0238
0x239,u+0239
0x23a,u+023a
0x23b,u+023b
0x23c,u+023c
0x23d,u+023d
0x23e,u+023e
0x23f,u+023f
0x240,u+0240
0x241,u+0241
0x242,u+0242
0x243,u+0243
0x244,u+0244
0x245,u+0245
0x246,u+0246
0x247,u+0247
0x248,u+0248
0x249,u+0249
0x24a,u+024a
0x24b,u+024b
0x24c,u+024c
0x24d,u+024d
0x24e,u+024e
0x24f,u+024f
0x250,u+0250
0x251,u+0251
0x252,u+0252
0x253,u+0253
0x254,u+0254
0x255,u+0255
0x256,u+0256
0x257,u+0257
0x258,u+0258
0x259,u+0259
0x25a,u+025a
0x25b,u+025b
0x25c,u+025c
0x25d,u+025d
0x25e,u+025e
0x25f,u+025f
0x260,u+0260
0x261,u+0261
0x262,u+0262
0x263,u+0263
0x264,u+0264
0x265,u+0265
0x266,u+0266
0x267,u+0267
0x268,u+0268
0x269,u+0269
0x26a,u+026a
0x26b,u+026b
0x26c,u+026c
0x26d,u+026d
0x26e,u+026e
0x26f,u+026f
0x270,u+0270
0x271,u+0271
0x272,u+0272
0x273,u+0273
0x274,u+0274
0x275,u+0275
0x276,u+0276
0x277,u+0277
0x278,u+0278
0x279,u+0279
0x27a,u+027a
0x27b,u+027b
0x27c,u+027c
0x27d,u+027d
0x27e,u+027e
0x27f,u+027f
0x280,u+0280
0x281,u+0281
0x282,u+0282
0x283,u+0283
0x284,u+0284
0x285,u+0285
0x286,u+0286
0x287,u+0287
0x288,u+0288
0x289,u+0289
0x28a,u+028a
0x28b,u+028b
0x28c,u+028c
0x28d,u+028d
0x28e,u+028e
0x28f,u+028f
0x290,u+0290
0x291,u+0291
0x292,u+0292
0x293,u+0293
0x294,u+0294
0x295,u+0295
0x296,u+0296
0x297,u+0297
0x298,u+0298
0x299,u+0299
0x29a,u+029a
0x29b,u+029b
0x29c,u+029c
0x29d,u+029d
0x29e,u+029e
0x29f,u+029f
0x2a0,u+02a0
0x2a1,u+02a1
0x2a2,u+02a2
0x2a3,u+02a3
0x2a4,u+02a4
0x2a5,u+02a5
0x2a6,u+02a6
0x2a7,u+02a7
0x2a8,u+02a8
0x2a9,u+02a9
0x2aa,u+02aa
0x2ab,u+02ab
0x2ac,u+02ac
0x2ad,u+02ad
0x2ae,u+02ae
0x2af,u+02af
0x2b0,u+02b0
0x2b1,u+02b1
0x2b2,u+02b2
0x2b3,u+02b3
0x2b4,u+02b4
0x2b5,u+02b5
0x2b6,u+02b6
0x2b7,u+02b7
0x2b8,u+02b8
0x2b9,u+02b9
0x2ba,u+02ba
0x2bb,u+02bb
0x2bc,u+02bc
0x2bd,u+02bd
0x2be,u+02be
0x2bf,u+02bf
0x2c0,u+02c0
0x2c1,u+02c1
0x2c2,u+02c2
0x2c3,u+02c3
0x2c4,u+02c4
0x2c5,u+02c5
0x2c6,u+02c6
0x2c7,u+02c7
0x2c8,u+02c8
0x2c9,u+02c9
0x2ca,u+02ca
0x2cb,u+02cb
0x2cc,u+02cc
0x2cd,u+02cd
0x2ce,u+02ce
0x2cf,u+02cf
0x2d0,u+02d0
0x2d1,u+02d1
0x2d2,u+02d2
0x2d3,u+02d3
0x2d4,u+02d4
0x2d5,u+02d5
0x2d6,u+02d6
0x2d7,u+02d7
0x2d8,u+02d8
0x2d9,u+02d9
0x2da,u+02da
0x2db,u+02db
0x2dc,u+02dc
0x2dd,u+02dd
0x2de,u+02de
0x2df,u+02df
0x2e0,u+02e0
0x2e1,u+02e1
0x2e2,u+02e2
0x2e3,u+02e3
0x2e4,u+02e4
0x2e5,u+02e5
0x2e6,u+02e6
0x2e7,u+02e7
0x2e8,u+02e8
0x2e9,u+02e9
0x2ec,u+02ec
0x2ed,u+02ed
0x2ee,u+02ee
0x2f3,u+02f3
0x2f7,u+02f7
0x300,u+0300
0x301,u+0301
0x302,u+0302
0x303,u+0303
0x304,u+0304
0x305,u+0305
0x306,u+0306
0x307,u+0307
0x308,u+0308
0x309,u+0309
0x30a,u+030a
0x30b,u+030b
0x30c,u+030c
0x30d,u+030d
0x30e,u+030e
0x30f,u+030f
0x310,u+0310
0x311,u+0311
0x312,u+0312
0x313,u+0313
0x314,u+0314
0x315,u+0315
0x316,u+0316
0x317,u+0317
0x318,u+0318
0x319,u+0319
0x31a,u+031a
0x31b,u+031b
0x31c,u+031c
0x31d,u+031d
0x31e,u+031e
0x31f,u+031f
0x320,u+0320
0x321,u+0321
0x322,u+0322
0x323,u+0323
0x324,u+0324
0x325,u+0325
0x326,u+0326
0x327,u+0327
0x328,u+0328
0x329,u+0329
0x32a,u+032a
0x32b,u+032b
0x32c,u+032c
0x32d,u+032d
0x32e,u+032e
0x32f,u+032f
0x330,u+0330
0x331,u+0331
0x332,u+0332
0x333,u+0333
0x334,u+0334
0x335,u+0335
0x336,u+0336
0x337,u+0337
0x338,u+0338
0x339,u+0339
0x33a,u+033a
0x33b,u+033b
0x33c,u+033c
0x33d,u+033d
0x33e,u+033e
0x33f,u+033f
0x340,u+0340
0x341,u+0341
0x342,u+0342
0x343,u+0343
0x344,u+0344
0x345,u+0345
0x346,u+0346
0x347,u+0347
0x348,u+0348
0x349,u+0349
0x34a,u+034a
0x34b,u+034b
0x34c,u+034c
0x34d,u+034d
0x34e,u+034e
0x34f,u+034f
0x351,u+0351
0x352,u+0352
0x353,u+0353
0x357,u+0357
0x358,u+0358
0x35a,u+035a
0x35c,u+035c
0x35d,u+035d
0x35e,u+035e
0x35f,u+035f
0x360,u+0360
0x361,u+0361
0x362,u+0362
0x370,u+0370
0x371,u+0371
0x372,u+0372
0x373,u+0373
0x374,u+0374
0x375,u+0375
0x376,u+0376
0x377,u+0377
0x37a,u+037a
0x37b,u+037b
0x37c,u+037c
0x37d,u+037d
0x37e,u+037e
0x37f,u+037f
0x384,u+0384
0x385,u+0385
0x386,u+0386
0x387,u+0387
0x388,u+0388
0x389,u+0389
0x38a,u+038a
0x38c,u+038c
0x38e,u+038e
0x38f,u+038f
0x390,u+0390
0x391,u+0391
0x392,u+0392
0x393,u+0393
0x394,u+0394
0x395,u+0395
0x396,u+0396
0x397,u+0397
0x398,u+0398
0x399,u+0399
0x39a,u+039a
0x39b,u+039b
0x39c,u+039c
0x39d,u+039d
0x39e,u+039e
0x39f,u+039f
0x3a0,u+03a0
0x3a1,u+03a1
0x3a3,u+03a3
0x3a4,u+03a4
0x3a5,u+03a5
0x3a6,u+03a6
0x3a7,u+03a7
0x3a8,u+03a8
0x3a9,u+03a9
0x3aa,u+03aa
0x3ab,u+03ab
0x3ac,u+03ac
0x3ad,u+03ad
0x3ae,u+03ae
0x3af,u+03af
0x3b0,u+03b0
0x3b1,u+03b1
0x3b2,u+03b2
0x3b3,u+03b3
0x3b4,u+03b4
0x3b5,u+03b5
0x3b6,u+03b6
0x3b7,u+03b7
0x3b8,u+03b8
0x3b9,u+03b9
0x3ba,u+03ba
0x3bb,u+03bb
0x3bc,u+03bc
0x3bd,u+03bd
0x3be,u+03be
0x3bf,u+03bf
0x3c0,u+03c0
0x3c1,u+03c1
0x3c2,u+03c2
0x3c3,u+03c3
0x3c4,u+03c4
0x3c5,u+03c5
0x3c6,u+03c6
0x3c7,u+03c7
0x3c8,u+03c8
0x3c9,u+03c9
0x3ca,u+03ca
0x3cb,u+03cb
0x3cc,u+03cc
0x3cd,u+03cd
0x3ce,u+03ce
0x3cf,u+03cf
0x3d0,u+03d0
0x3d1,u+03d1
0x3d2,u+03d2
0x3d3,u+03d3
0x3d4,u+03d4
0x3d5,u+03d5
0x3d6,u+03d6
0x3d7,u+03d7
0x3d8,u+03d8
0x3d9,u+03d9
0x3da,u+03da
0x3db,u+03db
0x3dc,u+03dc
0x3dd,u+03dd
0x3de,u+03de
0x3df,u+03df
0x3e0,u+03e0
0x3e1,u+03e1
0x3e2,u+03e2
0x3e3,u+03e3
0x3e4,u+03e4
0x3e5,u+03e5
0x3e6,u+03e6
0x3e7,u+03e7
0x3e8,u+03e8
0x3e9,u+03e9
0x3ea,u+03ea
0x3eb,u+03eb
0x3ec,u+03ec
0x3ed,u+03ed
0x3ee,u+03ee
0x3ef,u+03ef
0x3f0,u+03f0
0x3f1,u+03f1
0x3f2,u+03f2
0x3f3,u+03f3
0x3f4,u+03f4
0x3f5,u+03f5
0x3f6,u+03f6
0x3f7,u+03f7
0x3f8,u+03f8
0x3f9,u+03f9
0x3fa,u+03fa
0x3fb,u+03fb
0x3fc,u+03fc
0x3fd,u+03fd
0x3fe,u+03fe
0x3ff,u+03ff
0x400,u+0400
0x401,u+0401
0x402,u+0402
0x403,u+0403
0x404,u+0404
0x405,u+0405
0x406,u+0406
0x407,u+0407
0x408,u+0408
0x409,u+0409
0x40a,u+040a
0x40b,u+040b
0x40c,u+040c
0x40d,u+040d
0x40e,u+040e
0x40f,u+040f
0x410,u+0410
0x411,u+0411
0x412,u+0412
0x413,u+0413
0x414,u+0414
0x415,u+0415
0x416,u+0416
0x417,u+0417
0x418,u+0418
0x419,u+0419
0x41a,u+041a
0x41b,u+041b
0x41c,u+041c
0x41d,u+041d
0x41e,u+041e
0x41f,u+041f
0x420,u+0420
0x421,u+0421
0x422,u+0422
0x423,u+0423
0x424,u+0424
0x425,u+0425
0x426,u+0426
0x427,u+0427
0x428,u+0428
0x429,u+0429
0x42a,u+042a
0x42b,u+042b
0x42c,u+042c
0x42d,u+042d
0x42e,u+042e
0x42f,u+042f
0x430,u+0430
0x431,u+0431
0x432,u+0432
0x433,u+0433
0x434,u+0434
0x435,u+0435
0x436,u+0436
0x437,u+0437
0x438,u+0438
0x439,u+0439
0x43a,u+043a
0x43b,u+043b
0x43c,u+043c
0x43d,u+043d
0x43e,u+043e
0x43f,u+043f
0x440,u+0440
0x441,u+0441
0x442,u+0442
0x443,u+0443
0x444,u+0444
0x445,u+0445
0x446,u+0446
0x447,u+0447
0x448,u+0448
0x449,u+0449
0x44a,u+044a
0x44b,u+044b
0x44c,u+044c
0x44d,u+044d
0x44e,u+044e
0x44f,u+044f
0x450,u+0450
0x451,u+0451
0x452,u+0452
0x453,u+0453
0x454,u+0454
0x455,u+0455
0x456,u+0456
0x457,u+0457
0x458,u+0458
0x459,u+0459
0x45a,u+045a
0x45b,u+045b
0x45c,u+045c
0x45d,u+045d
0x45e,u+045e
0x45f,u+045f
0x460,u+0460
0x461,u+0461
0x462,u+0462
0x463,u+0463
0x464,u+0464
0x465,u+0465
0x466,u+0466
0x467,u+0467
0x468,u+0468
0x469,u+0469
0x46a,u+046a
0x46b,u+046b
0x46c,u+046c
0x46d,u+046d
0x46e,u+046e
0x46f,u+046f
0x470,u+0470
0x471,u+0471
0x472,u+0472
0x473,u+0473
0x474,u+0474
0x475,u+0475
0x476,u+0476
0x477,u+0477
0x478,u+0478
0x479,u+0479
0x47a,u+047a
0x47b,u+047b
0x47c,u+047c
0x47d,u+047d
0x47e,u+047e
0x47f,u+047f
0x480,u+0480
0x481,u+0481
0x482,u+0482
0x483,u+0483
0x484,u+0484
0x485,u+0485
0x486,u+0486
0x487,u+0487
0x488,u+0488
0x489,u+0489
0x48a,u+048a
0x48b,u+048b
0x48c,u+048c
0x48d,u+048d
0x48e,u+048e
0x48f,u+048f
0x490,u+0490
0x491,u+0491
0x492,u+0492
0x493,u+0493
0x494,u+0494
0x495,u+0495
0x496,u+0496
0x497,u+0497
0x498,u+0498
0x499,u+0499
0x49a,u+049a
0x49b,u+049b
0x49c,u+049c
0x49d,u+049d
0x49e,u+049e
0x49f,u+049f
0x4a0,u+04a0
0x4a1,u+04a1
0x4a2,u+04a2
0x4a3,u+04a3
0x4a4,u+04a4
0x4a5,u+04a5
0x4a6,u+04a6
0x4a7,u+04a7
0x4a8,u+04a8
0x4a9,u+04a9
0x4aa,u+04aa
0x4ab,u+04ab
0x4ac,u+04ac
0x4ad,u+04ad
0x4ae,u+04ae
0x4af,u+04af
0x4b0,u+04b0
0x4b1,u+04b1
0x4b2,u+04b2
0x4b3,u+04b3
0x4b4,u+04b4
0x4b5,u+04b5
0x4b6,u+04b6
0x4b7,u+04b7
0x4b8,u+04b8
0x4b9,u+04b9
0x4ba,u+04ba
0x4bb,u+04bb
0x4bc,u+04bc
0x4bd,u+04bd
0x4be,u+04be
0x4bf,u+04bf
0x4c0,u+04c0
0x4c1,u+04c1
0x4c2,u+04c2
0x4c3,u+04c3
0x4c4,u+04c4
0x4c5,u+04c5
0x4c6,u+04c6
0x4c7,u+04c7
0x4c8,u+04c8
0x4c9,u+04c9
0x4ca,u+04ca
0x4cb,u+04cb
0x4cc,u+04cc
0x4cd,u+04cd
0x4ce,u+04ce
0x4cf,u+04cf
0x4d0,u+04d0
0x4d1,u+04d1
0x4d2,u+04d2
0x4d3,u+04d3
0x4d4,u+04d4
0x4d5,u+04d5
0x4d6,u+04d6
0x4d7,u+04d7
0x4d8,u+04d8
0x4d9,u+04d9
0x4da,u+04da
0x4db,u+04db
0x4dc,u+04dc
0x4dd,u+04dd
0x4de,u+04de
0x4df,u+04df
0x4e0,u+04e0
0x4e1,u+04e1
0x4e2,u+04e2
0x4e3,u+04e3
0x4e4,u+04e4
0x4e5,u+04e5
0x4e6,u+04e6
0x4e7,u+04e7
0x4e8,u+04e8
0x4e9,u+04e9
0x4ea,u+04ea
0x4eb,u+04eb
0x4ec,u+04ec
0x4ed,u+04ed
0x4ee,u+04ee
0x4ef,u+04ef
0x4f0,u+04f0
0x4f1,u+04f1
0x4f2,u+04f2
0x4f3,u+04f3
0x4f4,u+04f4
0x4f5,u+04f5
0x4f6,u+04f6
0x4f7,u+04f7
0x4f8,u+04f8
0x4f9,u+04f9
0x4fa,u+04fa
0x4fb,u+04fb
0x4fc,u+04fc
0x4fd,u+04fd
0x4fe,u+04fe
0x4ff,u+04ff
0x500,u+0500
0x501,u+0501
0x502,u+0502
0x503,u+0503
0x504,u+0504
0x505,u+0505
0x506,u+0506
0x507,u+0507
0x508,u+0508
0x509,u+0509
0x50a,u+050a
0x50b,u+050b
0x50c,u+050c
0x50d,u+050d
0x50e,u+050e
0x50f,u+050f
0x510,u+0510
0x511,u+0511
0x512,u+0512
0x513,u+0513
0x514,u+0514
0x515,u+0515
0x516,u+0516
0x517,u+0517
0x518,u+0518
0x519,u+0519
